,AppID,Name,Release date,Required age,Price,DLC count,About the game,Supported languages,Windows,Mac,Linux,Positive,Negative,Score rank,Developers,Publishers,Categories,Genres,Tags
0,20200,Galactic Bowling,"Oct 21, 2008",0,19.99,0,"Galactic Bowling is an exaggerated and stylized bowling game with an intergalactic twist. Players will engage in fast-paced single and multi-player competition while being submerged in a unique new universe filled with over-the-top humor, wild characters, unique levels, and addictive game play. The title is aimed at players of all ages and skill sets. Through accessible and intuitive controls and game-play, Galactic Bowling allows you to jump right into the action. A single-player campaign and online play allow you to work your way up the ranks of the Galactic Bowling League! Whether you have hours to play or only a few minutes, Galactic Bowling is a fast paced and entertaining experience that will leave you wanting more! Full Single-player story campaign including 11 Characters and Environments. 2 Single-player play modes including Regular and Battle Modes. Head to Head Online Multiplayer play Modes. Super Powers, Special Balls, and Whammies. Unlockable Characters, Environments, and Minigames. Unlock all 30 Steam Achievements!",['English'],TRUE,FALSE,FALSE,6,11,,Perpetual FX Creative,Perpetual FX Creative,"Single-player,Multi-player,Steam Achievements,Partial Controller Support","Casual,Indie,Sports","Indie,Casual,Sports,Bowling"
1,655370,Train Bandit,"Oct 12, 2017",0,0.99,0,"THE LAW!! Looks to be a showdown atop a train. This will be your last fight. Good luck, Train Bandit. WHAT IS THIS GAME? Train Bandit is a simple score attack game. The Law will attack you from both sides. Your weapon is your keyboard. You'll use those keys to kick the living shit out of the law. React quickly by attacking the correct direction. React...or you're dead. THE FEATURES Unlock new bandits Earn Achievements Become Steam's Most Wanted ? Battle elite officers Kick the law's ass","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",TRUE,TRUE,FALSE,53,5,,Rusty Moyher,Wild Rooster,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Indie","Indie,Action,Pixel Graphics,2D,Retro,Arcade,Score Attack,Minimalist,Comedy,Singleplayer,Fast-Paced,Casual,Funny,Parody,Difficult,Gore,Violent,Western,Controller,Blood"
2,1732930,Jolt Project,"Nov 17, 2021",0,4.99,0,"Jolt Project: The army now has a new robotics project, jolt. It's up to you to control it and ensure the success of the missions! There are 9 stages of taking the breath away with the right difficulty and good gameplay. Plus an insane way of survival! Fire missiles at cars, tanks, helicopters and turrets! The fun is guaranteed! Use your mouse to aim and shoot and take out the enemies! In this game you will have to be aware of the various enemies who will do everything to destroy your charges and prevent the success of your mission! Cartoon-style graphics are optimized and fun and generate an excellent gaming environment!","['English', 'Portuguese - Brazil']",TRUE,FALSE,FALSE,0,0,,Campião Games,Campião Games,Single-player,"Action,Adventure,Indie,Strategy",
3,1355720,Henosis™,"Jul 23, 2020",0,5.99,0,"HENOSIS™ is a mysterious 2D Platform Puzzler where players are propelled into weird and visceral worlds as they take control of a small, droplet of water while overcoming obstacles and enemies throughout each level. The Player must venture through each world as it collects precious water tokens in order open the exit portal and restore vitality to its drought-ridden home world. Features: Traverse your way through 27 hand-crafted levels Unique player mechanics Battle menacing bosses across 3 distinct worlds* Original artwork &amp; animation Full controller support Localization support * Hidden world included!","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",TRUE,TRUE,TRUE,3,0,,Odd Critter Games,Odd Critter Games,"Single-player,Full controller support","Adventure,Casual,Indie","2D Platformer,Atmospheric,Surreal,Mystery,Puzzle,Survival,Adventure,Linear,Singleplayer,Experimental,Platformer,Precision Platformer,Puzzle-Platformer,2D,Stylized,Physics,Time Manipulation,Casual,Indie"
4,1139950,Two Weeks in Painland,"Feb 3, 2020",0,0,0,"ABOUT THE GAME Play as a hacker who has arranged a deal with a gangster. That’s how the protagonist, Jack, is assigned a mission that should be accomplished in a specific timeframe, which he will find out soon enough. THE GAME’S FEATURES Spy on 4 senior managers within an organization to find out about their personalities. Manage the recruitment process in the organization to improve the work climate. Hack the candidates who want to get into the organization to make your job easier. Try to avoid having your physical health impacted negatively in the process. All of this while you enjoy an interesting story full of humor and action that evolves along with the game.","['English', 'Spanish - Spain']",TRUE,TRUE,FALSE,50,8,,Unusual Games,Unusual Games,"Single-player,Steam Achievements","Adventure,Indie","Indie,Adventure,Nudity,Violent,Sexual Content,Story Rich"
5,1469160,Wartune Reborn,"Feb 26, 2021",0,0,0,"Feel tired of auto-fight? Feel tired of boring numerical combinations? Let us try this amazing and exciting game! Right! Wartune Reborn is the super popular magic epic game as we know. Now, the magnificent magic epic game restarts, reminds you the classical plays and brings great experience. In Cloud City, you are going to maintains the Wartune movement, fighting the abyss monsters to protect the world from chaos. Don't be nervous! With protection of Dinah, Priestess of Light, you will have the power to absorb the chord, incorporate those forces without kings into your own ones, and make contract with and train apotheosis of Sylphs. You can improve yourself in a series of RPG adventures including instances battles, wild fighting, occupation and plunder. At the same time, you can run your own ligeance and castles and ally yourself with other players in the world who attack the Chaos. All of you are going to cooperate to protect the world from the control and destroy of Redoga Drake and bring the brightness back to Cloud City...... Enter Wartune Reborn to enjoy thinking of battles and playing the game! 1. RPG simulation, S- semi TBS battle, castles constructions, occupation &amp; expelling make you the best lords 2. Magical epic plots and original prominent symphony show the ancient and magnificent medieval chapter. 3. Military organization, runes and strategies contribute to super power. 4. Sylph awakening, skills and training, you will cooperate to beat BOSS. 5. Explore the magical world of the wild, jungles, deserts and snow mountains freely in the map of the vast outer city, to find mysterious ancient treasure. 6. Avatar system provides cool fashion, wings, mounts, weapon appearance with arbitrary combination. Wartune Reborn, Magical epic, Expect Heroes! Classical playing brings you amazing experience!",['English'],TRUE,FALSE,FALSE,87,49,,7Road,7Road,"Single-player,Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,In-App Purchases","Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Strategy","Turn-Based Combat,Massively Multiplayer,Multiplayer,RPG,Tactical RPG,Exploration,PvP,MMORPG,Turn-Based Strategy,God Game,Strategy,2.5D,Magic,Medieval,Mythology,Class-Based,Turn-Based Tactics,Singleplayer,Online Co-Op,Co-op"
6,1659180,TD Worlds,"Jan 9, 2022",0,10.99,1,"TD Worlds is a dynamic, highly strategical game that challenges your skill. Build an impenetrable defense and get ready to plunge into a new, unknown world to uncover its secrets. In this bizarre universe, each attempt will be unique in its own way, which provides many hours of fun to play. Clear three completely different worlds from darkness, spread your influence everywhere. unique conditions in each game; losing is an important part of game progress. Each defeat reveals something new for you; dynamic storytelling: the more you play, the more you learn about the world; get random rewards after each level; tired of playing? Feel free to leave the game, next time you will continue where you left; experiment with different tactics; Twitch integration - play with your viewers.","['English', 'Russian', 'Danish']",TRUE,FALSE,FALSE,21,7,,MAKSIM VOLKAU,MAKSIM VOLKAU,"Single-player,Steam Achievements,Steam Cloud","Indie,Strategy","Tower Defense,Rogue-lite,RTS,Replay Value,Perma Death,2D,Isometric,Difficult,Rogue-like,Dynamic Narration,Stylized,Real Time Tactics,Strategy,Minimalist,Abstract,Tactical,Atmospheric,Singleplayer,Sci-fi,Mystery"
7,1968760,Legend of Rome - The Wrath of Mars,"May 5, 2022",0,9.99,0,"When the Roman people honored a simple warrior for the victories in battle they angered the god of war. Mars, infuriated, sends his army and brings great destruction to the Roman people. Experience a challenging match 3 game and help the Roman people appease Mars, the god of war! Build and restore the proud city to its original splendor. In Legend of Rome play through an exciting story, earn bonuses, power ups and trophies, solve mini-games and extra levels to get closer to your goal. - Varied match 3 game with many extras. - Play through a challenging story. - Build and restore the city. - Earn different bonuses, upgrades and extras. - Solve challenging mini-games and bonus levels.","['English', 'German']",TRUE,FALSE,FALSE,0,0,,magnussoft,magnussoft,"Single-player,Steam Cloud",Casual,
8,1178150,MazM: Jekyll and Hyde,"Apr 2, 2020",0,14.99,0,"MazM: Jekyll and Hyde' is a darkly entertaining adventure game based on the classic 1886 novel 'The Strange Case of Dr. Jekyll and Mr. Hyde' by Robert Louis Stevenson, in which you'll tackle the mystery from a totally new angle! You'll travel back to 19th century London and view the city through the eyes of Mr. Utterson, a lawyer that walks the true path hunting for clues to solve a disturbing mystery, and Mr. Hyde, who has been pushed to his physical limits. Wander the streets of this psychological thriller and prepare for an ending you would never expect! The version of London presented in 'MazM: Jekyll and Hyde' has a dark, heavy atmosphere, creating a sense of the eerie and macabre. The stunning artwork and unsettling music help to further intensify the disturbing nature of the game. Travel throughout London searching for clues, and allow the world of this classic novel to envelop you as you experience the tale of one man's many challenges and potential downfall!","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean']",TRUE,FALSE,FALSE,76,6,,Growing Seeds,"CFK Co., Ltd.","Single-player,Steam Achievements,Full controller support","Adventure,RPG,Simulation,Strategy","Adventure,Simulation,RPG,Strategy,Singleplayer,Classic"
9,320150,Deadlings: Rotten Edition,"Nov 11, 2014",0,3.99,0,"Death is lonely. He has zero friends on his FaceTome account and no one to hang out with. So, in order to feel better he begins “Project Deadlings”. Death buys a factory where he can build his laboratory and begin training a massive army of zombie minions. As the army of Deadlings grows, the mazes of the laboratory become deadlier, loaded with puzzles and death-defying traps. Different Deadlings have their own unique abilities: Bonesack is agile - he can run and jump, Creep can climb on walls and ceilings, Lazybrain treads slowly but carefully and Stencher... well Stencher has gastric problems so he can use his powerful gas clouds to fly. You will have to combine all of these abilities to find your way in Death's Maze. Can you help Death to kill his boredom? Will you be able to navigate all 60+ levels available in Deadlings? Will you complete Project Deadlings, and successfully train all of your zombie minions? Arcade side-scroller with strategy elements! Four different types of zombie minions with unique abilities! 70 levels of pure zombie gore fun! Additional game mode - Nightmare - only for the hardcore gamers! What's new in the Rotten Edition? 10 brand new bonus levels 15 new levels in Nightmare Mode Steam achievements and leaderboards Full controller support Nightmare mode unlocked from the beginning Steam Trading Cards and Badges HD graphics","['English', 'Polish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese', 'Russian', 'Japanese']",TRUE,TRUE,TRUE,225,45,,ONE MORE LEVEL,ONE MORE LEVEL,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,Adventure,Indie","Action,Indie,Adventure,Puzzle-Platformer,Arcade,Zombies"
10,1026420,WARSAW,"Oct 2, 2019",0,23.99,0,"Use everything at your disposal to help a team of accidental heroes survive the onslaught in their home city and overcome tremendous odds stacked against them in this tactical rpg set on the streets of occupied Warsaw of 1944. LEAD YOUR TEAM Enlist the help of men and women, soldiers and civilians, the young and the old and use their unique skills, expertise and abilities to challenge the enemy. Meet people from all walks of life united in their attempt to overthrow the German occupiers. OWN YOUR SKILLS Create a mix of versatile skills that will allow you to flank your enemies, detonate obstacles, snipe stragglers and push or pull enemies into the area where your carefully planned attacks deal the most damage. Make sure your Heroes are stacked with the right weapons salvaged, obtained from the enemy or air drops. Develop them using medal system to unlock a unique set of skills, and construct the best team of all the Heroes – both joining the forces and enlisted in the Hideout in exchange for the collected resources. MAKE YOUR MOVES Make your way on the carefully reconstructed map of Warsaw of 1944, encountering both historical and random events that immerse you in the story of the city that valiantly stood up to the Nazi oppressor. Patrol the streets fulfilling the orders issued by HQ, discover facts about the past of your Heroes and decide when to fight, and when to withdraw. SURVIVE THE UPRISING Learn all the strengths and weaknesses of your assigned team. Find the best combination of personnel, weapons and skills to overcome more and more lethal enemies thrown to quell the uprising. Fight your way through infantry, specialized troops, heavily armed units, special ordnance and armored vehicles. Make your choices in the many story infused events and live with their results. And don’t let the ever increasing ferocity and intensity of forces thrown your way stop you from your one goal. Turning your Heroes into survivors. Not victims. MAIN FEATURES Turn-based tactical rpg with characters of varying classes, and with skill and resource management in immersive WWII setting A deep tactical combat system with multitude of complementing skills, weapons and character abilities Character stories and backgrounds delivered through gameplay as well as numerous historical and fictional events happening under specific game’s circumstances Incredible replay value due to non-linear gameplay","['English', 'French', 'German', 'Polish', 'Russian']",TRUE,FALSE,FALSE,589,212,,Pixelated Milk,"Pixelated Milk,gaming company","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play on Tablet","Indie,RPG","Tactical RPG,Turn-Based Strategy,Wargame,Historical,Strategy RPG,Perma Death,RPG,Difficult,Turn-Based Combat,2D,Rogue-lite,Party-Based RPG,Strategy,Comic Book,Team-Based,Female Protagonist,Turn-Based Tactics,Hand-drawn,Stylized,World War II"
11,485000,Cthulhu Realms,"Jul 1, 2016",0,0,1,"Star Realms has gone insane! Introducing Cthulhu Realms! Are you zany enough to play the crazier and creepier cousin of Star Realms? Download and play today to find out why Cthulhu Realms is so crazily addictive! How to Play the Game: In Cthulhu Realms, each player tries to drive their opponent insane or have more sanity than their opponents when the deck runs out. Each player starts the game with a small deck comprised of initiates, goons and followers. Five cards from the deck form a row of available cards on the table; with more than two players, place three available cards between each pair of players. Each turn, you start with five cards in hand, playing those cards in order to put locations into play, boost your own sanity or reduce that of others, collect conjuring power to acquire new cards, and remove cards from the game. You can use the power of your locations once each turn. At the end of your turn, discard any cards still in hand and all entities and artifacts that you played. If you lose all of your sanity, you're out of the game. If you're the only one at the table who's still sane, you win. Otherwise, the game ends when the deck runs out and whoever has the most sanity wins. Darwin Kastle is the designer of the popular Star Realms Deckbuilding Game, and with the digital release of Cthulhu Realms, he once again provides tons of playability for free, and a one-time upgrade to be able play with your friends and more on any device. Free Version • Drive people insane everywhere - play across devices. • Crazyily addictive deckbuilding game. • Tutorial teaches you how to make people crazy in minutes. • Awesome, comical art. • Play VS the AI. • 8 silly campaign missions! Full Game Additional Features • Play the AI on 2 different difficulty settings. • 8 more fun campaign missions. • Battle your friends face to face with Pass and Play. • Play against many more opponents online. • Challenge a friend to online Player v Player combat Cthulhu Realms is also available at your local game store as a physical card game from Tasty Minstrel Games.",['English'],TRUE,TRUE,FALSE,147,58,,"Wise Wizard Games, LLC","Wise Wizard Games, LLC","Single-player,Multi-player,Shared/Split Screen,Cross-Platform Multiplayer,In-App Purchases,Remote Play Together",Strategy,"Card Game,Strategy,Deckbuilding,Lovecraftian,Board Game,Free to Play"
12,1620060,Clockwork Dungeon,"Aug 27, 2021",0,1.99,0,"Treasure awaits within the dungeon! There are no guards... but the dungeon was built to protect itself until the end of time, its traps operating like clockwork! Your task is to get the gold and escape alive! The order in which the traps trigger is known in advance, so it is up to you to plan your path to the treasure... and then back again to the exit... Good luck and beware of the traps. Deadly Spikes Flaming Walls Breaking Floors ...And more… to be discovered! FEATURES: 20 hand crafted levels Solve unique puzzles harder than they initially seem Increasing difficulty and complexity A secret hidden bonus level Achievements Full original soundtrack",['English'],TRUE,FALSE,FALSE,5,0,,Beardlings LLC,Beardlings LLC,"Single-player,Steam Achievements","Casual,Indie","Casual,Puzzle,2D,Singleplayer,Linear,Indie"
13,825930,Royal Battleships,"Apr 6, 2018",0,2.99,0,"Sometimes there is nothing better than a tourney in a classic battleships game. You can see a beautifully designed sea battle, familiar to those from your school times. You have to play against the computer and you need to destroy all enemy ships before yours are destroyed. Features: Very beautiful graphics Classic game You can compete with your friends Supporting all platforms (Windows, Mac, Linux, SteamOS) A lot of Steam achievements The gameplay is very simple. When you are preparing for the match, there are some ships of different sizes - from simple battle boat to a huge battleship. You put them on the battlefield and nobody else than you knows their location. Of course, don't know the enemy's positions neither. Thus the battle is absolutely fair and you can only guess where to shoot. Of course, if you hit a battleship for the first time, it will be easy to find the other tiles. However, finding all enemy boats can be a real challenge. Do not forget that this game is not about speed, but about variety, so that the battle is always different. The game perfectly develops strategic thinking and will be useful to both adults and children. In addition, it will help you to plunge into nostalgia for simple classic games.",['English'],TRUE,TRUE,TRUE,36,11,,Educational Games,Educational Games,"Single-player,Steam Achievements,Steam Leaderboards","Casual,Indie","Indie,Casual"
